ID,Company,Tech Type,Country,HQ Location
ENY48O,Reaction Engines,Spaceplane,United Kingdom,"Abingdon, England"
N6ZMQZ,Relativity Space,Rocket,USA,"Los Angeles, CA"
AX3EAN,Ripple Aerospace,Rocket,Norway,Kristiansand
1MF3VX,Rocket Factory Augsburg (by OHB),Rocket,germany,Augsburg
GHT2SE,Rocket Lab,Rocket,USA,"Huntington Beach, CA"
OHXDSF,Rocketplane Global,Spaceplane,USA,"Green Bay, WI"
F3YKDL,Rocketsan,Rocket,Turkey,Ankara
GZJMRS,RocketStar,Rocket,USA,"New York, NY"
TVNYX7,S-Motor,Rocket,China,Beijing
VAJRUF,Sea Launch/S7,Rocket,Russia,-
YDEJ7Y,Seres Space Exploration Technology,Rocket,China,Beijing
871I8R,ShipInSpace,Rocket,United Kingdom,"Witney, England"
C7JM7J,Sierra Nevada,Spaceplane,USA,"Sparks, NV"
W0N1LB,Skyroot Aerospace,Rocket,India,"Hyderabad, Telangana"
OPUO4H,Skyrora,Rocket,United Kingdom ,"Edinburgh, Scotland"
BFONVD,Smallspark Space Systems,Rocket,United Kingdom ,"Cardiff, Wales"
HRX4B5,Space Darts,Rocket,Russia,Moscow
CLIBNX,Space Engine Systems,Spaceplane,Canada,"Edmonton, Alberta"
LL0OL2,Space Forest,Rocket,Poland,Gdynia
6BFCR7,Space One,Other,Luxembourg,Luxembourg
QEJI1O,Space One (by Canon),Rocket,Japan,"Tokyo, Tokyo"
X1T6EH,Space Ops,Rocket,Australia,"Redfern, New South Wales"
A8MTXA,Space Perspective,Balloon,USA,-
SYD5CV,Space Railway Corporation,Other,USA,"Fort Worth, TX"
YXDOE0,Space Transportation (Lingkong Tianxing),"Rocket, Spaceplane",China,Beijing
JL0R6B,Space Vector,Rocket,USA,"Chatsworth, CA"
8XSKME,Space Walker,Spaceplane,Japan,"Minato, Tokyo"
53RPRQ,Spaceborne,Rocket,Uzbekistan,Tashkent
MRIP3J,SpaceHorizon,Rocket,Canada ,"Ottawa, Ontario"
FUANTI,SpaceRyde,"Balloon, Rocket",Canada ,"Toronto, Ontario"
8MR2V2,SpaceTrek,Rocket,China,Beijing
ZFD30R,SpaceX,Rocket,USA ,"Hawthorne, CA"
9SEH0R,SpinLaunch,Other,USA,"Long Beach, CA"
8JGG3O,STAR Orbitals,Rocket,India,"Surat, Gujarat"
KGDFN8,Starchaser,Rocket,United Kingdom,"Hyde, England"
67FNYB,Stofiel Aerospace,"Balloon, Rocket",USA,"St. Louis, MO"
LOYECI,Stoke Space Technologies,Rocket,USA,"Seattle, WA"
UQD7EJ,Strato,Balloon,Ukraine,Kiev
558SV6,Stratobooster,"Balloon, Rocket",United Kingdom,"Middlesbrough, England"
H55DP6,Stratolaunch,Spaceplane,USA,"Seattle, WA"
C9LR0X,Suborbitality,Rocket,Czech Republic,Prague
JKCTLK,Sugarhouse Aerospace,Rocket,USA,"Springville, UT"
QAURA8,Swedish Space Corp,"Balloon, Rocket",Sweden,Solna
HWKOOL,T-Minus,Rocket,Netherlands,Delft
7CPNRM,Tachyon Aerospace,Other,United Kingdom,"London, England"
94HGFX,The Rocket & Satellite Company,Rocket,Pakistan,Karachi
4TZF67,Thor Launch Systems (by 8 Rivers),Other,USA,"Durham, NC"
TPICVQ,Timewarp Space,Rocket,India,"Bangalore, Karnataka"
H8VZ60,TiSPACE,Rocket,Taiwan,Chunan
XRKF4S,TLON Space,Rocket,Argentina,Buenos Aires
WXVBYQ,Trans Space Travels,Spaceplane,Germany,Bayreuth
3ERLYJ,United Frontiers,Rocket,USA,"Port Canaveral, FL"
G2IUJT,United Launch Alliance,Rocket,USA,"Centennial, CO"
6ATTZA,UP Aerospace,Rocket,USA,"Highlands Ranch, CO"
DSN4ZK,VALT Enterprises,Rocket,USA,"Sanford, ME"
EODRIL,Vaya Space,Rocket,USA,"Cocoa, FL"
BMBGYQ,Vector,Rocket,USA,"Tucson, AZ"
E2DHSR,Venture Orbital Systems,Rocket,france,Paris
GA2YIU,Virgin Galactic/The Spaceship Company,Spaceplane,USA,"Mojave, CA"
GTFN9H,Virgin Orbit/VOX Space,"Plane, Rocket",USA,"Long Beach, CA"
JSPS1L,Vogue Aerospace,Rocket,USA,"Naples, FL"
5C86XB,VSAT Aerospace,Rocket,Brazil,"Santo André, São Paulo"
H10SF3,WAGNER Star Industries,Spaceplane,USA,"St Petersburg, FL"
BVPBO7,Wave Motion Launch,Other,USA,"Seattle, WA"
DUATKY,World View,Balloon,USA,"Tucson, AZ"
5O2FTK,X-Bow Launch Systems,Rocket,USA,"Huntsville, AL"
B8VY7O,Zephalto,Balloon,France,Le Pouget
6A5TOX,Zero 2 Infinity,Balloon,Spain,Barcelona
